2024-11-02 00:41:47.069557,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526107.0633123],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.359520400858975, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526106.9387753],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:42:46.906196,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526166.9053268],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.9411238367931185, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526166.8033159],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:43:46.864167,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526226.8629115],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.254294917680735, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526226.7141736],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:44:46.791215,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526286.7904434],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.829277022190399, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526286.6918058],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:45:47.689690,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526347.6888926],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.247673586256256, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526346.861629],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:46:48.819829,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526408.813522],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.6055833929849594, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526408.6773396],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:47:46.895210,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526466.8942823],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.4042591267000635, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526466.770756],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:48:46.850839,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526526.849834],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.522727272727263, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526526.723227],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:49:47.675160,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526587.6743646],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.762168933428768, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526586.7165234],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:50:46.861713,[38.480000000000004, 'f'],[32.848389071649706, 'f'],[80.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526646.8600755],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.381889763779519, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526646.7247748],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
