2024-11-04 00:33:56.982299,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702036.9811327],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[14.517716535433054, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702036.8250296],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:34:57.059913,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702097.0538082],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.907122405153887, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702096.919589],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:35:57.083252,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702157.0824022],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[12.213672154617022, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702156.9596014],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:36:56.745739,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702216.7449434],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[13.443987115246943, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702215.7746735],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:37:57.030306,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702277.029618],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[13.376879026485312, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702276.9264297],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:38:56.826605,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702336.8259525],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.63869005010736, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702336.737403],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:39:57.109247,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702397.106385],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.222798854688607, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702396.9719155],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:40:57.033074,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702457.031907],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[11.609699355762336, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702456.8687782],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:41:56.782365,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702516.7804854],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[10.826771653543295, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702515.7934957],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:42:56.966976,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702576.9661372],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.791159627773792, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702576.8496165],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:43:56.691624,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702636.6901937],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[9.551717967072285, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702635.7835777],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:44:57.045236,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702697.043912],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.0687186828919035, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702696.8715482],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:45:56.713828,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702756.70729],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[7.448997852541152, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702755.7752564],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:46:56.768279,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702816.7621458],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[9.864889047959904, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702815.7840588],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:47:56.782819,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702876.781427],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[7.247673586256256, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702875.7899532],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:48:56.693339,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702936.6925585],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.429133858267711, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702935.813685],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:49:57.104260,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730702997.1033316],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.8027916964924797, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730702996.9790246],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:50:56.903347,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703056.9023194],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[5.234430923407295, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703056.7690272],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:51:56.755942,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703116.748393],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[6.643700787401568, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703115.7912133],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:52:57.009494,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703177.00332],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[9.976735862562624, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703176.8528242],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:53:56.723157,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703236.7218692],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[6.867394416607007, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703235.895637],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:54:56.711845,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703296.7055047],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[5.368647100930559, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703295.7673917],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:55:57.055384,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703357.0491421],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[3.8027916964924797, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703356.917777],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:56:56.888041,[53.24, 'f'],[52.96589194630358, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730703416.8819575],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[5.010737294201856, 'mph', 2.0, '2', 'Light Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730703416.748906],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
