2024-11-10 16:44:23.678386,[47.120000000000005, 'f'],[45.761407151323446, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278663.6776547],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.093593414459551, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278662.8429294],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:45:23.930597,[47.120000000000005, 'f'],[45.761407151323446, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278723.9297535],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[3.265926986399424, 'mph', 1.0, '1', 'Light Air'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278723.8216321],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:46:23.862101,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278783.8609686],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.9817465998568315, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278783.710873],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:47:24.672365,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278844.67195],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.496241947029343, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278843.7483459],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:48:24.899947,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278904.89893],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.608088761632064, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278904.7591357],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:49:23.896281,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278963.8954906],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[5.368647100930559, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278963.778236],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:50:23.791093,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731279023.790314],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.026485325697919, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731279023.6938202],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:51:23.713998,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731279083.7127175],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.608088761632064, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731279082.8914587],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:52:23.734116,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731279143.7337046],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.429133858267711, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731279143.6801474],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:53:23.935949,[46.94, 'f'],[45.85895426179085, 'f'],[96.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731279203.9347262],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[5.010737294201856, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731279203.823024],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
