2024-10-28 00:42:48.034515,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094168.033371],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.15318539727987, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094167.9080145],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:43:50.699737,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094230.6929505],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.459735146743007, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094229.798439],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:44:49.674424,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094289.6738498],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.376879026485312, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094288.851816],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:45:50.683173,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094350.6818597],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.459735146743007, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094348.8515506],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:46:49.682623,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094409.6812954],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[16.598067287043648, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094408.6929598],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:47:48.025091,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094468.0240426],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.926986399427326, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094467.9035335],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:48:50.671391,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094529.865762],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[14.965103793843936, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094529.7351835],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:49:50.757085,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094590.7505684],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.27827487473155, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094589.8287468],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:50:48.006059,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094648.0051284],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.67179670722976, 'mph', 5.0, '5', 'Fresh Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094647.9046857],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:51:49.861155,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094709.8601294],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[17.202040085898336, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094709.7339504],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:52:49.721834,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094769.7200005],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.703292770221886, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094768.8715487],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:53:49.686451,[46.76, 'f'],[30.52487115617981, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094829.685525],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.14155332856118, 'mph', 5.0, '5', 'Fresh Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094828.7535386],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:54:48.807269,[46.76, 'f'],[30.986194573003203, 'f'],[54.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094888.8061314],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.815139584824607, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094888.6873307],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:55:48.725287,[46.76, 'f'],[30.986194573003203, 'f'],[54.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094948.7185373],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.904617036506783, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094947.930372],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
