2024-11-09 18:16:44.761938,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197804.7606308],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.205440229062272, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197803.889385],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:17:43.064676,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197863.0583968],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.391016463851104, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197862.9373956],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:18:45.701831,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197925.7013404],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.362025769506079, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197924.820669],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:19:44.833591,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197984.8324375],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[6.845025053686464, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197984.6938643],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:20:44.770505,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198044.769422],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[5.950250536864703, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198043.8888748],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:21:43.096830,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198103.0956755],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[6.151574803149599, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198102.95331],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:22:43.066563,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198163.0602167],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[6.845025053686464, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198162.937375],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:23:43.121066,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198223.1191695],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[6.285790980672863, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198222.9733918],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:24:43.098046,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198283.095224],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.681818181818175, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198282.9516783],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:25:44.920307,[49.28, 'f'],[45.270492868501826, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731198344.9194412],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.748926270579807, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731198344.8073895],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
