2024-10-27 00:39:15.675697,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007555.675184],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.851646385110943, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007554.708149],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:40:15.682234,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007615.6817389],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.448997852541152, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007614.8200774],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:41:14.796781,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007674.795265],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.733178239083743, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007673.837646],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:42:13.924088,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007733.92287],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.800286327845376, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007733.80817],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:43:13.886228,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007793.8853693],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.784538296349312, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007793.7729008],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:44:14.678758,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007854.6746624],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.621331424481023, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007853.8195662],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:45:13.843148,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007913.8419867],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.017358625626335, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007913.705416],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:46:13.810040,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007973.8036056],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.113457408732992, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730007973.6749768],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:47:14.670840,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730008033.8711643],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.352899069434495, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730008033.7459674],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:48:13.736546,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730008093.735289],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.956871868289183, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730008092.8788748],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
